日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,烏日測站,PM2.5,93,80,84,80,78,70,67,57,64,65,40,29,23,18,14,12,13,35,41,40,53,61,64,50
2018/12/02,烏日測站,PM2.5,39,27,22,24,25,23,20,21,20,16,10,10,19,27,22,19,21,26,23,27,36,35,40,40
2018/12/03,烏日測站,PM2.5,38,40,39,37,32,34,35,33,35,29,32,28,22,27,13,28,19,21,20,23,28,28,31,32
2018/12/04,烏日測站,PM2.5,26,27,24,29,25,25,22,24,26,20,13,13,14,4,5,4,0,0,3,8,17,22,20,14
2018/12/05,烏日測站,PM2.5,8,8,9,15,19,11,12,14,11,14,13,9,9,8,8,15,15,13,15,16,14,12,19,21
2018/12/06,烏日測站,PM2.5,15,14,14,13,19,20,18,24,27,17,#,#,16,8,12,14,8,13,23,23,32,34,31,25
2018/12/07,烏日測站,PM2.5,19,10,10,8,6,3,3,1,3,2,1,3,1,1,3,7,2,1,3,2,3,1,1,2
2018/12/08,烏日測站,PM2.5,3,2,1,1,3,4,6,8,5,5,1,#,3,1,#,1,8,19,7,5,5,7,8,5
2018/12/09,烏日測站,PM2.5,2,1,1,2,2,2,2,1,4,3,4,3,2,5,4,3,3,5,9,6,8,11,7,6
2018/12/10,烏日測站,PM2.5,6,4,6,9,5,3,3,4,10,7,10,14,14,5,10,9,11,11,17,15,10,14,18,18
2018/12/11,烏日測站,PM2.5,13,6,12,15,11,15,18,22,19,22,15,14,16,17,14,15,14,14,11,5,8,8,4,3
2018/12/12,烏日測站,PM2.5,1,1,2,3,1,3,3,3,5,10,4,4,6,3,4,8,9,9,13,14,16,16,13,18
2018/12/13,烏日測站,PM2.5,17,18,19,22,20,22,15,16,17,18,17,22,38,16,13,18,18,18,15,14,14,19,16,17
2018/12/14,烏日測站,PM2.5,18,12,12,12,12,16,10,8,9,9,14,15,#,11,14,13,4,8,5,3,0,3,8,6
2018/12/15,烏日測站,PM2.5,7,5,3,1,1,4,3,12,19,11,13,21,22,25,17,16,16,14,21,34,19,15,24,19
2018/12/16,烏日測站,PM2.5,12,5,13,12,14,13,16,13,16,22,27,24,#,17,14,16,16,14,7,5,8,11,3,2
2018/12/17,烏日測站,PM2.5,1,6,8,5,3,3,2,5,9,10,12,10,14,9,18,19,22,15,21,18,22,17,15,8
2018/12/18,烏日測站,PM2.5,13,24,26,18,22,28,27,25,27,16,35,30,24,24,21,20,20,24,29,27,28,35,35,32
2018/12/19,烏日測站,PM2.5,40,35,35,35,35,35,32,40,36,27,24,23,24,26,20,22,24,35,77,77,72,69,59,56
2018/12/20,烏日測站,PM2.5,51,40,40,40,39,35,29,29,24,28,21,16,10,3,8,6,22,29,25,29,34,35,44,33
2018/12/21,烏日測站,PM2.5,29,33,30,19,22,26,27,27,26,25,26,31,29,31,25,24,25,13,22,29,29,36,44,35
2018/12/22,烏日測站,PM2.5,36,32,44,45,40,46,58,48,47,46,38,33,27,31,33,37,29,27,30,36,38,39,41,34
2018/12/23,烏日測站,PM2.5,38,36,45,58,47,48,41,31,31,29,18,16,10,13,4,3,8,1,1,1,0,0,4,4
2018/12/24,烏日測站,PM2.5,0,0,0,0,0,0,0,0,#,8,6,2,5,5,6,8,6,3,10,8,9,9,6,11
2018/12/25,烏日測站,PM2.5,7,7,11,10,11,8,11,11,10,16,16,17,13,12,10,12,13,19,24,23,15,10,14,14
2018/12/26,烏日測站,PM2.5,6,4,7,4,4,7,6,7,9,9,11,2,4,10,19,15,15,7,6,7,9,10,16,9
2018/12/27,烏日測站,PM2.5,9,12,7,7,16,10,0,6,5,1,3,10,7,6,7,9,8,8,6,5,4,3,6,8
2018/12/28,烏日測站,PM2.5,5,1,3,9,6,5,5,9,11,9,10,8,5,7,7,9,18,7,7,11,13,14,8,12
2018/12/29,烏日測站,PM2.5,12,8,6,8,13,13,11,9,6,6,6,6,11,14,13,10,10,10,10,11,11,13,14,12
2018/12/30,烏日測站,PM2.5,9,5,3,8,9,10,18,18,12,11,14,15,15,21,19,23,19,19,11,10,9,11,10,12
2018/12/31,烏日測站,PM2.5,11,8,12,11,14,9,8,8,8,7,11,9,9,9,13,16,13,8,5,6,9,12,15,10
