日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,后里測站,PM2.5,109,93,80,70,62,63,73,71,61,51,31,33,31,31,27,27,39,57,#,#,#,#,#,#
2018/12/02,后里測站,PM2.5,#,#,#,#,#,#,#,#,#,#,13,20,32,36,35,35,29,35,40,40,53,55,57,45
2018/12/03,后里測站,PM2.5,43,31,28,27,19,20,20,24,21,18,13,18,38,26,25,22,19,31,41,38,24,34,31,29
2018/12/04,后里測站,PM2.5,24,21,20,13,19,9,10,7,10,10,6,6,7,9,7,5,11,16,23,16,11,15,19,14
2018/12/05,后里測站,PM2.5,14,10,24,31,29,19,26,14,21,17,15,12,10,11,12,11,11,14,23,21,41,22,22,18
2018/12/06,后里測站,PM2.5,21,20,35,19,17,18,17,11,12,18,18,22,16,11,19,21,14,35,30,37,30,36,30,36
2018/12/07,后里測站,PM2.5,14,23,14,12,10,9,8,17,6,9,11,7,9,6,6,10,8,18,24,14,11,12,20,7
2018/12/08,后里測站,PM2.5,7,7,7,6,6,8,7,6,10,7,3,6,12,10,10,11,11,21,22,17,10,12,8,6
2018/12/09,后里測站,PM2.5,7,11,8,9,9,6,5,4,5,10,11,7,5,6,7,8,14,5,11,11,7,8,8,8
2018/12/10,后里測站,PM2.5,10,8,10,10,12,11,11,12,8,12,12,#,#,7,6,10,10,19,24,23,23,29,22,20
2018/12/11,后里測站,PM2.5,25,19,16,14,17,14,13,17,18,17,17,19,17,15,14,16,15,25,21,19,13,17,14,5
2018/12/12,后里測站,PM2.5,8,9,8,5,8,9,11,10,11,9,8,11,8,13,11,12,10,15,21,19,21,20,23,21
2018/12/13,后里測站,PM2.5,23,25,25,20,17,16,20,17,18,18,14,11,11,14,19,20,19,14,22,25,23,23,24,23
2018/12/14,后里測站,PM2.5,20,20,14,15,16,18,16,14,14,8,6,10,19,16,22,23,14,24,24,13,12,21,12,13
2018/12/15,后里測站,PM2.5,12,13,10,10,9,12,12,12,11,9,17,21,32,27,27,26,26,45,52,83,40,39,27,35
2018/12/16,后里測站,PM2.5,28,23,34,25,20,22,28,31,26,32,29,31,28,36,35,30,26,21,15,17,14,14,18,17
2018/12/17,后里測站,PM2.5,19,22,18,18,18,13,12,20,21,#,25,22,26,27,24,30,32,50,45,32,28,21,14,16
2018/12/18,后里測站,PM2.5,11,17,15,14,15,13,17,19,25,27,31,29,30,36,29,26,30,38,54,41,36,35,35,48
2018/12/19,后里測站,PM2.5,40,42,37,37,39,41,40,38,46,54,43,43,33,36,37,39,38,73,96,111,107,84,65,42
2018/12/20,后里測站,PM2.5,44,41,38,25,28,23,21,22,22,18,17,14,11,13,39,32,40,42,44,42,41,34,40,36
2018/12/21,后里測站,PM2.5,37,28,37,36,30,25,27,27,29,31,32,37,49,41,41,49,50,47,58,50,39,48,56,51
2018/12/22,后里測站,PM2.5,52,57,57,61,57,46,41,51,49,45,44,41,40,41,41,43,48,46,48,50,54,105,49,59
2018/12/23,后里測站,PM2.5,42,45,51,56,48,54,42,47,35,33,32,21,21,18,12,16,15,17,16,12,12,11,11,*
2018/12/24,后里測站,PM2.5,9,9,11,11,11,8,9,12,10,10,10,9,11,11,12,14,12,10,12,10,13,16,14,11
2018/12/25,后里測站,PM2.5,15,12,13,15,16,15,23,16,#,#,9,21,21,23,26,25,25,35,42,24,18,46,34,21
2018/12/26,后里測站,PM2.5,28,16,11,13,13,15,11,16,14,15,17,21,20,21,21,24,20,20,13,14,13,22,19,15
2018/12/27,后里測站,PM2.5,16,20,15,17,16,15,16,12,6,6,9,11,11,10,8,6,7,8,10,10,8,7,8,7
2018/12/28,后里測站,PM2.5,6,4,14,10,7,7,7,6,6,7,6,5,8,9,11,14,13,9,13,10,10,13,12,12
2018/12/29,后里測站,PM2.5,11,11,9,10,13,14,9,14,12,9,9,8,8,9,10,10,9,21,21,17,14,10,9,9
2018/12/30,后里測站,PM2.5,8,8,8,9,8,6,8,5,6,8,9,13,13,12,10,15,24,14,12,13,17,15,13,10
2018/12/31,后里測站,PM2.5,10,15,17,14,10,10,11,12,9,8,8,10,12,8,9,11,13,18,22,13,13,13,14,7
