日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,大甲測站,PM10,139,128,114,93,89,95,92,94,101,89,72,66,72,72,65,68,66,73,80,84,91,97,106,97
2018/12/02,大甲測站,PM10,71,53,55,49,47,35,29,32,29,27,40,61,73,75,69,55,45,43,53,85,88,77,72,74
2018/12/03,大甲測站,PM10,82,76,59,60,80,74,70,61,62,67,69,66,66,60,51,44,45,52,78,84,89,71,53,53
2018/12/04,大甲測站,PM10,50,46,44,34,31,27,27,26,24,29,26,23,21,17,18,22,23,18,42,49,36,35,45,63
2018/12/05,大甲測站,PM10,63,62,62,61,54,45,42,42,43,40,35,39,55,60,49,55,68,63,64,53,47,44,41,41
2018/12/06,大甲測站,PM10,43,41,41,40,35,37,43,42,51,57,45,57,59,45,51,53,64,51,62,74,67,54,32,30
2018/12/07,大甲測站,PM10,33,38,28,27,20,21,15,20,22,29,21,#,32,39,52,49,39,38,34,29,24,24,21,21
2018/12/08,大甲測站,PM10,23,24,22,29,20,29,24,25,21,31,27,29,49,46,53,55,42,35,33,31,18,29,21,23
2018/12/09,大甲測站,PM10,24,25,19,17,21,9,15,16,22,23,16,23,37,36,27,28,30,30,23,27,24,22,21,23
2018/12/10,大甲測站,PM10,20,24,24,18,26,22,24,25,35,31,28,15,18,17,21,28,33,37,38,31,27,32,37,37
2018/12/11,大甲測站,PM10,42,53,38,43,40,38,20,39,29,45,35,39,32,36,44,32,29,33,37,35,29,28,30,30
2018/12/12,大甲測站,PM10,22,27,30,26,30,31,28,28,32,34,43,47,#,33,34,37,46,50,40,50,41,41,45,49
2018/12/13,大甲測站,PM10,51,42,44,44,46,38,45,35,30,30,32,24,35,45,48,42,41,37,37,28,28,27,24,20
2018/12/14,大甲測站,PM10,22,17,26,24,21,13,17,20,21,28,29,41,45,41,43,45,43,39,38,34,30,29,19,22
2018/12/15,大甲測站,PM10,25,23,26,29,26,26,15,16,26,22,26,35,44,38,42,45,33,42,57,37,41,46,46,38
2018/12/16,大甲測站,PM10,39,40,45,32,35,42,46,52,58,53,42,71,71,57,54,59,41,35,32,32,28,32,40,30
2018/12/17,大甲測站,PM10,37,39,30,33,27,25,36,32,41,54,54,59,#,70,74,81,72,75,73,71,53,42,42,45
2018/12/18,大甲測站,PM10,40,31,39,36,42,42,36,42,36,46,41,53,50,68,64,64,65,65,76,92,88,84,76,66
2018/12/19,大甲測站,PM10,68,80,77,82,86,80,72,66,75,85,91,84,84,97,90,102,118,121,101,129,122,100,115,135
2018/12/20,大甲測站,PM10,115,99,117,90,61,55,51,45,52,64,50,53,79,72,64,56,64,79,86,89,77,86,73,74
2018/12/21,大甲測站,PM10,66,56,65,62,65,78,62,64,77,74,84,82,65,64,72,63,68,67,71,80,74,74,73,81
2018/12/22,大甲測站,PM10,73,70,69,60,79,73,74,76,89,84,75,73,71,65,76,77,87,92,94,91,87,86,95,97
2018/12/23,大甲測站,PM10,93,83,81,96,112,105,70,53,55,61,58,59,49,48,38,30,26,24,29,17,21,18,18,20
2018/12/24,大甲測站,PM10,21,22,21,20,23,24,24,21,24,25,28,22,32,27,39,36,28,32,37,28,34,31,31,37
2018/12/25,大甲測站,PM10,31,26,27,26,37,20,29,29,28,43,32,36,#,37,39,55,71,51,56,33,34,25,22,12
2018/12/26,大甲測站,PM10,19,9,16,16,20,24,23,29,23,31,35,27,35,25,16,27,21,31,30,29,33,30,32,29
2018/12/27,大甲測站,PM10,31,27,25,30,27,23,24,26,29,31,23,31,28,28,35,31,29,30,30,23,19,24,25,23
2018/12/28,大甲測站,PM10,25,23,20,15,17,23,20,21,25,25,30,42,47,49,53,64,48,41,31,33,29,25,24,28
2018/12/29,大甲測站,PM10,21,29,23,29,27,38,29,31,32,30,37,40,39,29,32,28,51,50,47,36,32,23,13,11
2018/12/30,大甲測站,PM10,18,12,20,22,16,13,21,22,19,19,21,17,18,24,16,23,42,50,39,34,20,21,19,19
2018/12/31,大甲測站,PM10,31,27,22,31,25,24,19,19,14,23,27,26,25,31,38,26,27,25,28,27,30,18,14,16
