日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,文山測站,NO2,10.4,9.8,9.8,6.5,#,6.1,6.6,11.5,19.5,7.7,5.4,3.6,3.3,3.4,3.9,5,6.7,9.6,8.9,8.8,11.7,12.1,12.7,17.1
2018/12/02,文山測站,NO2,16.2,13.8,10.4,11.6,#,7,9,10.3,9.5,6.5,5.6,4.5,4.8,3.4,3.5,3.8,4.3,5.6,6.3,8.1,10.2,13.1,10.2,11.7
2018/12/03,文山測站,NO2,14.1,10.1,7.2,8,#,16.4,19.2,17,25.5,29.2,23.9,14,8.3,7.5,5.9,5.3,6,14.8,15.3,8.1,6.4,12.7,21.8,22.8
2018/12/04,文山測站,NO2,22,21.1,21.9,22.8,#,17.1,21.4,19.3,27.7,35.1,29.3,5.9,2.5,2.3,2,1.6,3.9,12.6,18,11.2,18.5,18.3,19.5,18.2
2018/12/05,文山測站,NO2,20,20.4,13.5,8.9,#,9.7,9,9.5,11.2,8.8,#,#,13.3,11.8,17,20.1,25.5,27.5,29.2,30.6,33.3,39.1,40.7,34.9
2018/12/06,文山測站,NO2,33.9,23.4,16.5,25.7,#,22.3,19.4,23.8,25.9,34.6,25.2,17.1,14.8,10.8,8.2,8,13.5,16.7,18.5,24.7,25.8,30,27.4,19.8
2018/12/07,文山測站,NO2,17.4,15.8,13.9,10.3,#,10.2,11.8,13.8,13.2,11.4,12.8,10.6,9.6,9.1,11.2,14.2,17.6,22.2,20,17.8,13.8,14.7,12.4,12.2
2018/12/08,文山測站,NO2,11.6,11.9,11.2,9.8,#,7.4,8.2,9.5,9.5,9.9,8.5,7.9,6.5,6.3,9.6,10,12.1,13.3,13,12.4,14,12.4,10.9,10.8
2018/12/09,文山測站,NO2,9.8,10.1,8.8,8.4,#,7.7,8.4,6.7,7.7,9.1,8.4,9.1,7.5,7.1,6.8,7.6,9.6,13.5,12.9,12.7,10.2,13.4,14.1,16
2018/12/10,文山測站,NO2,12,12.5,10.8,11,#,8.7,9.9,11.6,13.6,14,15.8,14.9,13.1,15.2,15.5,17.4,17,20,18.7,16.4,15.2,16.9,15.9,14.1
2018/12/11,文山測站,NO2,18.1,17.2,22.1,23.7,#,17.9,23.2,14,12,14.3,13.7,11.7,10.3,11.4,13.2,13.5,15.3,20.5,21.6,17.6,16,13.6,10.6,10.3
2018/12/12,文山測站,NO2,10.3,7,5.7,7.2,#,5.1,7.6,9.9,10.7,10.8,10.1,11.2,10.3,12.6,13.8,15.5,16.7,20.4,15.7,17.2,15.2,13,12.7,11.5
2018/12/13,文山測站,NO2,11.7,11.4,9,9.1,#,7.6,8.8,10.2,12,10.8,9.9,13.4,10.3,10.8,11.1,12.7,15.9,17.4,17.4,17.8,15,15.2,12.3,14.5
2018/12/14,文山測站,NO2,15.5,17.2,9.9,18.3,#,18.3,15.4,17.7,16.5,15.8,16.9,12.8,10.1,11.3,13.3,11.8,14.8,15.8,14.9,13.3,13.8,14.4,11.9,13.8
2018/12/15,文山測站,NO2,15.1,13.3,10.9,13.2,#,13.6,15.3,19.2,17.5,18.2,18.9,10.8,9.4,9.4,9.4,7.2,7.5,15.6,14.9,19.2,22.2,26.1,27.3,29.4
2018/12/16,文山測站,NO2,26.5,25.1,21.6,20.2,#,14.7,13.1,20.4,20.9,13.7,10.5,10,5.5,4.4,7.7,6.6,7.2,8.6,9.6,12.5,8.9,8,9.5,11.3
2018/12/17,文山測站,NO2,12.7,14.7,11.7,10.4,#,8.9,8.6,11.6,11.9,11.1,10.2,11.6,11,13.3,13.9,16.5,18.8,22.1,19.2,17.8,15.1,9,4.9,4.9
2018/12/18,文山測站,NO2,4.3,6.6,9.3,11.1,#,20.6,24.5,31.9,32.4,33.4,29.2,10.4,9.6,#,#,#,14.2,17.5,24.1,31.9,39.3,42.2,29.9,20.8
2018/12/19,文山測站,NO2,26.8,18.5,10.4,14.4,#,11.7,16.6,17.1,15,14.3,8.8,8.8,8.5,6.9,9.1,9.8,12.9,20.8,36.4,29.1,28.8,33.8,37,36.7
2018/12/20,文山測站,NO2,21.8,12.5,12.8,19.5,#,21.2,23.4,23.2,46.4,33.7,27.2,11,5,6.2,11.5,13.6,12.7,31.4,23.1,31.5,29.7,21.3,25.4,35.8
2018/12/21,文山測站,NO2,35.7,26.6,30.5,29.4,#,30.7,34.4,28.4,26.3,38.7,19.9,11.9,9.5,7.4,10.8,10.4,12,13.8,11.9,12.8,19.1,26.6,15.6,17.4
2018/12/22,文山測站,NO2,27.3,17.7,16.6,16.9,#,8.1,9.9,12.4,16.5,16.7,15.6,13.4,14.2,13.1,12.7,12.7,16.1,20,22.2,26.4,32.4,24,15,17.2
2018/12/23,文山測站,NO2,18.9,21.9,15.6,11,#,17.7,17.7,13.8,11.1,11.6,12.3,10.7,10.6,10.3,15.5,15.5,14.9,14.3,14.5,11,8.9,9.2,8.4,8.8
