日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,霧峰測站,PM2.5,87,101,88,88,81,74,77,69,76,64,44,34,27,24,23,27,20,37,43,52,43,48,44,43
2018/12/02,霧峰測站,PM2.5,39,37,36,33,28,27,19,17,17,26,18,14,17,25,29,32,29,41,52,33,29,28,32,28
2018/12/03,霧峰測站,PM2.5,31,33,37,32,24,21,20,18,22,30,20,22,19,30,27,20,16,14,17,17,16,18,20,20
2018/12/04,霧峰測站,PM2.5,23,21,21,22,19,14,15,14,14,16,29,#,4,8,1,3,4,9,1,2,2,3,2,3
2018/12/05,霧峰測站,PM2.5,4,3,5,5,3,3,3,4,10,14,19,20,16,14,6,9,17,17,23,14,15,14,16,12
2018/12/06,霧峰測站,PM2.5,12,17,14,16,14,14,21,19,14,19,20,27,7,10,7,14,6,11,19,19,23,24,20,24
2018/12/07,霧峰測站,PM2.5,28,21,14,15,5,5,4,3,3,2,4,7,5,7,4,4,2,7,7,3,1,3,3,3
2018/12/08,霧峰測站,PM2.5,1,2,1,3,2,4,3,1,1,2,4,4,3,1,1,5,10,7,14,9,9,10,9,6
2018/12/09,霧峰測站,PM2.5,7,5,3,4,3,5,7,6,6,5,6,11,5,6,4,5,7,6,6,12,9,8,7,6
2018/12/10,霧峰測站,PM2.5,6,10,6,9,7,9,8,6,5,11,8,11,10,9,6,7,12,12,13,10,17,17,16,17
2018/12/11,霧峰測站,PM2.5,14,14,16,11,13,8,14,7,15,23,12,10,11,16,10,9,9,8,12,8,10,10,7,6
2018/12/12,霧峰測站,PM2.5,4,1,1,1,2,3,2,3,5,4,6,6,6,10,7,#,12,10,14,16,11,11,13,19
2018/12/13,霧峰測站,PM2.5,16,16,18,18,20,16,17,15,13,17,19,24,27,27,16,13,12,17,12,13,14,17,18,14
2018/12/14,霧峰測站,PM2.5,16,18,11,13,10,9,8,10,10,14,15,22,17,19,24,21,17,8,10,9,5,10,8,10
2018/12/15,霧峰測站,PM2.5,4,7,7,6,10,7,8,6,11,14,21,28,26,36,36,28,24,25,32,28,24,23,22,25
2018/12/16,霧峰測站,PM2.5,26,23,24,28,19,21,17,17,22,27,40,35,30,23,22,23,36,37,18,14,16,17,16,14
2018/12/17,霧峰測站,PM2.5,18,15,15,10,11,9,6,3,5,10,7,26,15,11,28,19,39,21,26,24,26,23,22,20
2018/12/18,霧峰測站,PM2.5,21,23,21,20,19,19,20,16,18,24,29,35,35,27,31,29,27,21,21,20,23,26,24,24
2018/12/19,霧峰測站,PM2.5,22,24,25,27,29,24,27,24,23,34,24,23,25,31,33,26,33,24,24,28,29,40,42,39
2018/12/20,霧峰測站,PM2.5,38,32,31,24,25,28,23,21,21,29,29,18,8,6,8,9,14,29,24,21,23,22,21,23
2018/12/21,霧峰測站,PM2.5,18,19,19,20,18,21,18,18,23,29,24,26,34,35,40,30,30,35,39,38,39,29,34,31
2018/12/22,霧峰測站,PM2.5,36,41,41,51,38,35,40,40,45,45,45,48,49,43,43,41,45,52,46,39,40,39,41,40
2018/12/23,霧峰測站,PM2.5,40,41,39,42,49,48,45,35,41,38,46,36,32,29,22,27,12,14,7,5,3,4,2,3
2018/12/24,霧峰測站,PM2.5,1,0,1,1,0,3,3,4,3,6,8,8,17,10,9,7,5,10,12,10,10,6,7,7
2018/12/25,霧峰測站,PM2.5,5,11,5,6,6,10,8,12,11,16,23,26,20,20,20,27,25,25,29,22,24,20,20,15
2018/12/26,霧峰測站,PM2.5,14,11,11,3,4,2,4,6,14,9,11,12,15,20,14,15,29,18,15,9,9,9,7,12
2018/12/27,霧峰測站,PM2.5,7,7,7,4,3,11,1,4,4,4,2,#,3,4,4,4,4,7,9,4,4,4,5,4
2018/12/28,霧峰測站,PM2.5,1,6,3,4,8,4,2,6,6,7,4,2,4,4,5,4,9,8,9,10,9,7,9,5
2018/12/29,霧峰測站,PM2.5,6,7,5,3,6,5,7,7,7,10,6,9,8,9,7,14,9,11,9,12,12,8,8,11
2018/12/30,霧峰測站,PM2.5,12,15,13,17,13,14,14,11,10,14,12,14,17,20,24,11,20,21,17,13,12,9,12,7
2018/12/31,霧峰測站,PM2.5,10,7,7,9,7,9,7,4,6,7,6,10,8,8,4,7,8,10,9,9,9,10,11,9
