日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,太平測站,PM2.5,65,69,64,53,61,64,69,65,61,50,39,31,24,19,18,19,23,40,43,47,49,39,40,35
2018/12/02,太平測站,PM2.5,25,29,24,25,19,19,18,20,17,20,24,20,19,24,29,27,30,29,33,35,35,36,38,37
2018/12/03,太平測站,PM2.5,40,34,35,29,21,18,22,22,24,34,36,35,40,26,27,23,25,24,22,31,33,33,29,28
2018/12/04,太平測站,PM2.5,30,32,25,20,18,14,16,19,16,23,#,15,9,11,13,11,14,13,21,15,14,11,15,17
2018/12/05,太平測站,PM2.5,14,8,8,12,14,13,11,13,14,14,19,16,16,9,14,12,20,19,17,22,23,22,24,19
2018/12/06,太平測站,PM2.5,19,24,23,23,21,15,16,18,24,29,25,17,14,16,19,19,17,19,25,30,29,29,28,29
2018/12/07,太平測站,PM2.5,22,21,19,14,14,10,12,9,12,10,12,12,11,8,11,13,14,13,12,14,10,9,13,13
2018/12/08,太平測站,PM2.5,9,#,#,8,#,8,#,8,11,7,10,3,3,4,4,2,4,8,10,9,10,6,7,6
2018/12/09,太平測站,PM2.5,7,4,6,5,7,6,4,2,5,5,8,7,5,2,3,7,5,5,8,7,7,6,5,3
2018/12/10,太平測站,PM2.5,8,4,10,4,11,6,6,5,8,6,6,9,7,4,6,7,10,8,10,11,12,12,14,13
2018/12/11,太平測站,PM2.5,14,12,12,12,14,15,10,14,16,14,12,9,13,15,14,14,11,11,11,7,8,9,9,6
2018/12/12,太平測站,PM2.5,4,6,4,4,0,4,4,3,4,7,7,6,11,8,6,8,11,13,11,13,14,13,12,13
2018/12/13,太平測站,PM2.5,14,13,12,14,13,13,11,15,14,13,15,17,20,14,12,14,11,12,14,14,14,14,14,17
2018/12/14,太平測站,PM2.5,16,17,14,14,12,12,13,14,15,19,#,16,17,13,18,17,14,10,9,11,13,14,14,13
2018/12/15,太平測站,PM2.5,13,8,9,14,12,17,17,16,15,19,24,26,31,29,29,23,19,24,20,24,22,23,24,21
2018/12/16,太平測站,PM2.5,24,26,24,20,24,24,21,23,24,29,35,25,23,19,20,18,18,15,14,19,19,16,14,14
2018/12/17,太平測站,PM2.5,15,12,14,13,14,14,13,11,13,12,15,15,15,17,17,19,19,22,23,24,24,20,22,11
2018/12/18,太平測站,PM2.5,8,14,15,19,18,17,17,19,22,24,27,29,30,33,28,28,23,25,24,29,27,27,26,24
2018/12/19,太平測站,PM2.5,27,27,24,24,26,27,25,25,29,29,29,24,25,26,25,24,24,22,31,33,28,26,27,24
2018/12/20,太平測站,PM2.5,23,22,21,19,18,19,19,20,19,23,29,#,9,9,12,19,9,9,10,11,8,10,9,10
2018/12/21,太平測站,PM2.5,11,7,10,12,13,9,10,11,13,11,13,13,13,11,23,23,24,20,22,23,21,15,22,19
2018/12/22,太平測站,PM2.5,21,21,22,20,15,23,22,22,22,20,20,21,23,22,23,21,22,19,20,19,15,21,22,22
2018/12/23,太平測站,PM2.5,24,22,21,22,21,20,18,21,21,23,20,19,19,21,21,19,21,22,15,13,16,13,12,#
2018/12/24,太平測站,PM2.5,11,10,11,9,11,13,10,14,12,#,11,15,13,9,14,13,14,15,16,17,18,13,14,16
2018/12/25,太平測站,PM2.5,13,13,16,16,14,14,14,15,17,16,12,16,18,14,13,18,18,18,14,16,18,15,14,13
2018/12/26,太平測站,PM2.5,12,13,9,13,14,12,17,17,13,13,17,13,12,15,11,16,15,17,16,17,15,18,13,13
2018/12/27,太平測站,PM2.5,15,17,15,11,13,14,14,15,15,15,16,14,13,13,14,16,15,17,15,12,16,18,18,17
2018/12/28,太平測站,PM2.5,12,12,14,14,16,14,15,15,14,14,12,12,11,12,14,17,14,15,14,13,12,14,13,13
2018/12/29,太平測站,PM2.5,13,14,14,12,17,13,13,14,12,7,6,7,7,7,6,8,7,6,7,7,6,7,9,6
2018/12/30,太平測站,PM2.5,6,8,6,7,11,7,9,7,8,8,6,9,9,7,8,7,9,6,8,9,10,9,10,8
2018/12/31,太平測站,PM2.5,8,9,8,7,9,9,9,6,7,8,6,6,7,6,8,8,11,6,6,7,6,6,7,7
