日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,大甲測站,PM2.5,88,80,64,49,49,46,45,53,49,39,28,22,23,26,28,31,31,31,32,40,47,49,58,62
2018/12/02,大甲測站,PM2.5,46,29,31,28,22,14,9,11,10,9,20,31,37,40,33,22,17,17,25,50,55,47,38,40
2018/12/03,大甲測站,PM2.5,50,50,39,34,44,43,43,37,36,40,41,36,38,36,35,29,24,21,40,49,51,35,25,25
2018/12/04,大甲測站,PM2.5,24,19,13,12,10,7,5,4,5,7,6,3,4,3,4,5,3,6,25,25,13,11,17,31
2018/12/05,大甲測站,PM2.5,39,34,34,31,23,16,15,12,12,13,10,6,10,12,14,14,15,14,15,15,14,12,12,12
2018/12/06,大甲測站,PM2.5,14,17,15,11,9,9,11,12,14,20,12,19,17,7,12,18,23,17,16,21,23,16,6,12
2018/12/07,大甲測站,PM2.5,12,9,9,7,6,3,3,3,5,4,5,#,3,5,9,7,7,13,10,6,3,2,4,6
2018/12/08,大甲測站,PM2.5,5,3,1,#,2,2,3,5,4,1,0,1,4,5,7,7,6,6,6,5,2,3,2,1
2018/12/09,大甲測站,PM2.5,5,3,2,5,3,0,0,3,2,5,4,2,16,5,4,4,5,5,5,6,6,5,2,2
2018/12/10,大甲測站,PM2.5,3,3,3,3,3,5,5,3,5,3,4,2,0,0,2,5,10,8,6,4,4,6,11,7
2018/12/11,大甲測站,PM2.5,15,16,10,10,14,6,5,10,6,7,5,9,9,8,12,12,12,10,12,9,5,2,2,4
2018/12/12,大甲測站,PM2.5,6,5,6,3,3,2,3,2,5,5,5,4,#,8,10,8,12,16,12,25,19,15,22,23
2018/12/13,大甲測站,PM2.5,23,23,22,20,19,20,25,11,13,11,7,7,9,8,10,8,10,10,10,11,11,8,7,6
2018/12/14,大甲測站,PM2.5,7,4,0,2,6,4,1,3,2,2,6,8,9,7,10,10,13,14,12,8,9,7,7,5
2018/12/15,大甲測站,PM2.5,12,8,9,7,7,4,3,5,9,10,8,7,12,11,12,4,9,9,13,12,10,15,14,12
2018/12/16,大甲測站,PM2.5,12,10,9,9,12,11,7,14,13,12,7,20,17,17,14,20,15,14,12,12,10,10,16,10
2018/12/17,大甲測站,PM2.5,14,12,9,10,6,2,5,8,12,12,14,18,#,21,25,29,26,28,27,29,19,12,10,11
2018/12/18,大甲測站,PM2.5,11,8,12,12,10,11,14,11,12,13,13,13,15,19,20,13,15,19,21,31,31,37,30,27
2018/12/19,大甲測站,PM2.5,31,33,31,39,36,40,35,33,42,44,42,36,33,42,39,42,61,71,53,76,70,53,61,80
2018/12/20,大甲測站,PM2.5,61,49,64,49,27,19,21,17,22,27,16,15,32,22,18,22,20,39,41,50,41,47,31,31
2018/12/21,大甲測站,PM2.5,34,31,30,31,31,39,31,33,39,35,40,36,24,19,18,13,16,14,13,27,28,31,29,33
2018/12/22,大甲測站,PM2.5,33,25,25,18,24,26,19,22,28,31,32,31,31,27,34,28,24,27,33,31,26,31,39,39
2018/12/23,大甲測站,PM2.5,33,29,24,35,43,43,25,12,13,10,16,16,16,16,12,12,10,7,7,6,3,3,3,4
2018/12/24,大甲測站,PM2.5,5,6,5,4,6,6,7,8,7,7,4,4,7,6,5,6,4,8,9,6,6,5,4,3
2018/12/25,大甲測站,PM2.5,9,7,7,7,11,9,9,8,10,11,10,13,12,12,12,12,13,15,13,12,11,7,4,4
2018/12/26,大甲測站,PM2.5,3,1,0,0,2,4,10,11,12,15,14,17,13,9,6,6,6,14,11,9,12,10,11,9
2018/12/27,大甲測站,PM2.5,12,9,7,13,9,9,8,6,10,15,8,7,10,11,9,9,11,10,13,10,7,4,5,7
2018/12/28,大甲測站,PM2.5,7,9,7,6,6,8,11,7,8,8,10,14,16,28,23,20,23,23,14,10,11,10,8,7
2018/12/29,大甲測站,PM2.5,12,10,8,8,11,9,9,13,12,12,13,15,11,15,5,6,12,15,17,7,7,4,3,2
2018/12/30,大甲測站,PM2.5,1,3,3,4,4,3,3,3,3,3,4,5,5,8,9,10,9,12,19,17,11,7,6,9
2018/12/31,大甲測站,PM2.5,6,7,10,10,7,4,5,5,4,6,6,5,5,5,6,9,9,7,12,9,8,6,4,3
