日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,烏日測站,WD,280,126,352,101,135,142,297,72,93,306,326,341,336,19,314,312,324,331,331,12,350,138,157,185
2018/12/02,烏日測站,WD,165,164,158,157,199,177,247,169,107,218,261,281,291,273,274,294,295,281,284,283,280,142,159,161
2018/12/03,烏日測站,WD,126,137,122,147,166,139,165,174,158,192,238,284,280,318,328,340,341,360,308,82,159,163,226,182
2018/12/04,烏日測站,WD,176,197,175,157,168,142,177,159,160,172,19,351,336,320,325,349,354,358,3,11,161,185,178,146
2018/12/05,烏日測站,WD,127,295,18,68,184,212,145,166,352,6,352,347,344,335,333,338,323,325,314,311,330,215,251,228
2018/12/06,烏日測站,WD,239,223,286,173,188,134,172,158,148,94,302,331,323,318,352,342,340,342,354,349,322,329,311,310
2018/12/07,烏日測站,WD,339,7,14,11,359,4,5,360,4,357,352,356,354,349,351,3,360,3,3,7,9,5,14,4
2018/12/08,烏日測站,WD,13,7,7,4,7,14,9,14,7,5,355,4,4,350,352,354,346,350,13,0,360,7,359,6
2018/12/09,烏日測站,WD,11,360,3,9,9,6,359,1,335,310,12,350,8,356,1,347,2,345,348,1,3,13,4,345
2018/12/10,烏日測站,WD,8,359,16,13,9,10,17,50,16,21,14,13,359,358,8,351,348,9,330,3,355,30,293,330
2018/12/11,烏日測站,WD,19,313,314,143,155,175,256,16,32,17,2,353,360,357,355,3,5,6,6,9,1,4,8,5
2018/12/12,烏日測站,WD,6,2,9,12,13,9,12,5,21,12,15,2,7,8,9,4,360,343,347,1,4,5,8,5
2018/12/13,烏日測站,WD,1,356,353,3,3,10,17,359,12,344,34,39,347,2,356,355,358,11,5,356,338,359,344,0
2018/12/14,烏日測站,WD,359,32,322,354,341,302,335,17,18,266,304,334,359,350,335,342,0,357,335,340,6,346,316,339
2018/12/15,烏日測站,WD,349,318,1,282,166,158,187,164,157,154,264,290,275,272,280,317,349,327,330,320,318,312,310,261
2018/12/16,烏日測站,WD,254,274,253,190,128,170,197,302,45,327,359,329,332,337,344,340,3,358,1,346,0,21,11,6
2018/12/17,烏日測站,WD,18,12,7,6,10,4,13,4,10,15,359,359,358,357,353,360,355,355,2,16,5,13,15,58
2018/12/18,烏日測站,WD,174,214,225,216,216,167,304,286,151,61,294,279,273,279,297,304,296,298,305,173,150,242,226,181
2018/12/19,烏日測站,WD,336,179,168,95,331,169,158,176,159,173,197,200,203,223,250,267,280,288,290,286,221,195,160,206
2018/12/20,烏日測站,WD,180,255,164,155,158,156,155,159,162,153,171,180,239,221,264,288,302,345,10,322,190,160,182,90
2018/12/21,烏日測站,WD,178,190,197,151,189,143,180,161,155,37,334,339,342,340,346,341,321,316,317,305,216,220,209,137
2018/12/22,烏日測站,WD,157,150,179,228,249,213,160,152,37,352,331,332,315,301,302,309,313,313,337,338,316,307,18,3
2018/12/23,烏日測站,WD,6,4,18,345,20,16,7,8,359,12,359,338,344,356,348,338,354,3,352,345,348,11,2,0
2018/12/24,烏日測站,WD,4,5,7,7,7,5,8,12,358,360,8,347,357,351,2,356,4,3,309,311,317,346,315,302
2018/12/25,烏日測站,WD,250,251,238,209,203,289,11,273,119,290,30,340,322,335,345,346,12,8,352,357,3,7,360,9
2018/12/26,烏日測站,WD,3,3,9,2,359,358,354,358,0,349,328,337,338,344,360,355,4,3,7,4,334,4,5,354
2018/12/27,烏日測站,WD,6,4,359,19,8,9,15,14,12,22,8,7,6,6,3,6,7,9,6,5,6,9,9,6
2018/12/28,烏日測站,WD,7,8,16,11,14,14,16,13,7,360,8,359,354,358,3,6,360,4,360,4,7,11,11,9
2018/12/29,烏日測站,WD,13,8,12,8,13,13,17,17,16,358,4,5,0,334,346,358,4,9,7,15,21,10,13,12
2018/12/30,烏日測站,WD,354,0,9,149,150,94,163,176,184,253,288,345,44,98,152,222,289,14,354,322,338,335,331,351
2018/12/31,烏日測站,WD,2,9,29,10,11,4,33,339,2,5,14,2,0,355,4,356,351,358,360,344,10,358,346,6
