日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,霧峰測站,PM10,136,131,128,123,119,116,107,106,128,109,111,99,79,70,66,58,49,89,92,101,81,87,78,70
2018/12/02,霧峰測站,PM10,63,65,62,60,53,44,43,25,35,43,56,73,46,62,71,77,75,84,97,70,63,63,62,66
2018/12/03,霧峰測站,PM10,62,57,62,46,48,35,37,30,42,58,44,57,66,70,79,53,46,46,45,39,35,45,44,50
2018/12/04,霧峰測站,PM10,44,41,43,40,42,36,37,34,33,42,44,#,29,39,37,32,25,27,28,18,22,25,23,22
2018/12/05,霧峰測站,PM10,19,15,22,21,27,19,20,17,24,45,74,77,47,45,46,54,57,99,93,64,59,52,46,43
2018/12/06,霧峰測站,PM10,48,49,44,42,45,42,41,41,40,57,71,80,58,29,49,55,41,37,56,59,59,53,52,51
2018/12/07,霧峰測站,PM10,74,51,36,32,26,17,10,12,17,28,44,32,49,37,34,34,31,30,24,22,16,14,19,8
2018/12/08,霧峰測站,PM10,11,7,15,9,4,5,10,11,18,15,23,36,26,27,24,15,27,26,34,17,22,23,19,9
2018/12/09,霧峰測站,PM10,14,10,17,14,11,12,18,9,8,18,21,22,15,20,15,14,16,21,20,19,17,20,10,10
2018/12/10,霧峰測站,PM10,20,17,10,16,9,13,11,11,15,30,36,27,23,21,19,24,30,43,32,27,34,37,33,27
2018/12/11,霧峰測站,PM10,37,42,20,38,15,28,23,22,36,45,39,28,47,44,33,37,#,#,#,#,#,#,#,#
2018/12/12,霧峰測站,PM10,#,#,#,#,#,#,#,#,#,#,22,#,#,#,#,#,#,18,36,38,24,29,28,23
2018/12/13,霧峰測站,PM10,25,23,26,28,27,27,29,24,33,40,43,56,79,52,54,93,63,52,35,32,35,37,38,33
2018/12/14,霧峰測站,PM10,27,29,23,27,23,25,25,27,26,49,137,63,61,54,85,88,94,52,36,35,26,26,25,20
2018/12/15,霧峰測站,PM10,21,22,23,16,21,18,24,21,33,38,53,58,66,67,103,93,72,64,71,74,60,53,54,54
2018/12/16,霧峰測站,PM10,57,50,49,50,45,48,39,35,48,64,101,135,131,53,96,100,#,#,45,32,37,33,32,35
2018/12/17,霧峰測站,PM10,36,30,32,37,29,31,20,11,19,37,66,#,#,69,195,89,#,67,58,61,52,47,46,45
2018/12/18,霧峰測站,PM10,41,42,40,41,37,39,35,37,37,50,64,106,135,97,82,90,98,87,70,59,56,51,55,52
2018/12/19,霧峰測站,PM10,53,49,52,51,55,54,53,46,50,63,60,106,148,103,270,137,171,72,74,68,66,75,84,81
2018/12/20,霧峰測站,PM10,70,68,55,52,50,49,44,45,43,#,61,50,29,20,27,37,57,105,73,55,50,47,47,44
2018/12/21,霧峰測站,PM10,46,44,42,42,40,38,35,43,46,72,69,85,83,76,87,90,90,83,90,97,84,72,69,68
2018/12/22,霧峰測站,PM10,79,95,90,94,70,#,59,53,77,91,97,95,93,88,138,133,140,205,132,93,90,91,85,76
2018/12/23,霧峰測站,PM10,79,82,77,72,69,70,61,61,71,125,178,184,131,65,152,#,74,92,21,22,14,17,13,13
2018/12/24,霧峰測站,PM10,11,9,8,8,8,5,10,8,15,30,30,40,72,36,86,91,38,125,44,26,34,19,18,19
2018/12/25,霧峰測站,PM10,23,22,23,22,21,20,24,31,34,35,59,77,61,67,78,179,89,83,60,52,45,36,31,29
2018/12/26,霧峰測站,PM10,24,22,18,16,17,23,19,14,23,32,34,52,55,54,52,73,#,70,43,23,20,21,25,28
2018/12/27,霧峰測站,PM10,18,23,15,19,34,23,19,14,29,18,21,#,54,37,36,43,31,27,26,19,13,12,16,10
2018/12/28,霧峰測站,PM10,11,13,14,12,10,10,12,12,12,20,39,32,42,21,40,39,59,30,29,24,23,21,15,15
2018/12/29,霧峰測站,PM10,11,11,12,10,13,16,15,16,19,18,20,21,25,23,37,37,33,38,35,26,22,20,21,25
2018/12/30,霧峰測站,PM10,23,20,23,27,26,27,27,23,27,29,31,37,43,42,49,46,62,67,38,33,29,25,21,20
2018/12/31,霧峰測站,PM10,21,11,11,11,17,19,10,12,16,16,22,21,23,24,30,26,30,26,22,22,23,21,20,22
