日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,霧峰測站,O3,12.3,19.2,18.3,14.9,15,10.9,6.1,3.8,33.7,50.3,50.3,58.9,61.8,73.8,85.1,69.2,56.8,36.6,20.7,18,12.7,10.2,11,10.6
2018/12/02,霧峰測站,O3,8.4,7.3,5.3,10,8.5,8.3,8.4,8.3,17.3,25.1,32.8,48.3,69.4,83.2,86.8,71.6,58.4,32.9,14.2,10.5,9.4,7,6.5,10.8
2018/12/03,霧峰測站,O3,9.9,8.3,11.2,12.5,14,11.4,8.4,5,8,26.1,43.1,47.8,64.8,62.9,65.3,60.2,42.8,21.6,15.1,11.2,10.5,8.8,5.6,4.8
2018/12/04,霧峰測站,O3,5,2.4,4.6,7.5,9.7,12.1,10.3,7.6,6.9,#,#,51.7,51.6,48,36.5,29.4,22.9,10.5,3,4.5,7,6.5,5.5,4.9
2018/12/05,霧峰測站,O3,3,1.6,0.7,0.7,1.7,1.2,1,1.6,3,14.5,45.2,54.4,64.4,60.9,56.3,50,33.3,10.4,2.3,1.4,1.4,0.2,0.1,0.1
2018/12/06,霧峰測站,O3,0.1,0.1,0.2,0.2,0.2,0.1,0.5,1.3,4,7.5,34.6,45.7,51.2,62.7,59.5,39.6,29,28.4,19.5,10.4,5.7,3.5,2.5,0.3
2018/12/07,霧峰測站,O3,1.2,6,8.3,15,9.2,17.3,15.9,10,13.9,23.6,29,37.2,48.6,44.6,41.6,36.7,23.7,19.1,15.7,18.9,18.9,14.5,17.3,20.4
2018/12/08,霧峰測站,O3,22.9,22.7,22.7,24.5,23.3,23.5,20.4,14.8,20.2,22.3,27.9,35.3,38.1,38.6,38.9,33.3,25,11.5,13,10.3,6.6,6.9,10.9,14.3
2018/12/09,霧峰測站,O3,18.6,18.2,18.2,22.2,23,17.6,10.9,8.5,9.8,11.3,19.6,25.2,25.6,32.7,32.8,29.6,23.8,15,9.6,10.7,6.8,7.3,5.8,2.6
2018/12/10,霧峰測站,O3,2.4,2,1.9,3,3.7,2.5,3.4,4.5,3,5.6,12.9,13.6,13.2,14,12,10.6,3.7,4.7,2.5,2.3,4.9,0.6,0.2,0.1
2018/12/11,霧峰測站,O3,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.4,3.6,11.4,15.6,21,27.5,30,29.4,24.5,17.9,9.4,4,4.6,3.8,6.3,11.6,16.8
2018/12/12,霧峰測站,O3,22,21.4,21.8,25.3,27,25.9,23.4,14.7,13.1,19.4,20.7,20.4,20.6,24.6,22.9,#,14.4,7.3,1.6,7.2,7.8,4.9,13.6,14.8
2018/12/13,霧峰測站,O3,17.9,17.9,14.7,16.4,17.3,12.6,13.4,9,7,9.3,13.8,26.2,46.5,51.2,50.7,34.5,20.2,12.2,10.8,5.7,3.8,3.3,3.1,2.2
2018/12/14,霧峰測站,O3,5.7,6.1,5.7,6.2,2.4,1.3,0.3,1.7,4.2,6.8,10.4,26.8,46.8,66.1,71.2,55.6,37.4,14.8,2.2,5.6,11.7,7.1,9.6,7.5
