日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,大甲測站,WD,224,223,220,188,186,209,87,67,60,23,355,356,13,11,2,13,16,23,31,48,55,60,91,97
2018/12/02,大甲測站,WD,110,119,121,142,117,127,119,138,132,211,247,297,304,282,278,282,296,289,240,131,13,14,76,110
2018/12/03,大甲測站,WD,177,136,109,96,115,108,116,119,75,15,353,325,331,329,337,6,16,30,36,49,81,101,112,114
2018/12/04,大甲測站,WD,116,123,122,122,115,116,114,116,116,108,12,340,338,340,8,14,23,29,46,54,36,46,40,36
2018/12/05,大甲測站,WD,34,37,35,36,40,37,37,43,37,37,32,22,20,20,20,19,19,19,23,27,31,39,43,38
2018/12/06,大甲測站,WD,54,54,75,69,55,47,48,53,53,35,10,13,8,9,15,13,20,37,35,30,32,25,35,33
2018/12/07,大甲測站,WD,32,36,39,35,31,35,34,34,38,38,30,39,30,25,24,29,32,33,37,38,38,34,34,37
2018/12/08,大甲測站,WD,36,34,33,36,37,38,31,34,38,35,32,29,27,20,23,27,29,27,21,31,30,34,32,34
2018/12/09,大甲測站,WD,37,34,33,33,37,36,33,39,39,31,34,28,25,27,30,29,32,27,30,29,37,34,37,37
2018/12/10,大甲測站,WD,33,38,36,40,31,39,39,28,33,37,31,39,37,33,38,31,31,41,31,42,35,44,51,44
2018/12/11,大甲測站,WD,49,46,48,43,28,32,34,42,32,28,32,31,30,34,36,32,33,38,37,42,43,40,38,38
2018/12/12,大甲測站,WD,38,38,37,38,42,41,41,42,42,48,47,38,34,37,37,36,41,39,33,39,39,37,39,39
2018/12/13,大甲測站,WD,35,38,35,38,38,38,39,38,38,37,37,29,20,23,30,35,39,33,34,35,38,34,32,31
2018/12/14,大甲測站,WD,33,32,33,32,42,26,33,33,32,31,20,20,19,21,21,21,24,25,25,27,33,34,28,33
2018/12/15,大甲測站,WD,37,34,33,29,29,43,42,29,38,41,12,355,351,351,6,18,25,16,28,30,25,36,29,35
2018/12/16,大甲測站,WD,33,61,61,50,51,56,34,53,38,27,20,11,16,20,27,23,34,38,44,43,35,43,40,37
2018/12/17,大甲測站,WD,35,38,38,41,45,50,46,43,42,44,38,35,31,26,28,29,34,35,37,46,45,44,48,48
2018/12/18,大甲測站,WD,46,53,51,40,39,40,43,52,44,23,27,19,4,16,20,18,19,29,33,38,304,42,99,169
2018/12/19,大甲測站,WD,166,187,183,200,197,160,181,142,187,227,230,229,233,231,227,229,236,229,219,220,220,200,176,185
2018/12/20,大甲測站,WD,185,200,133,133,137,154,145,127,153,227,225,244,246,255,259,311,18,29,54,52,44,58,86,112
2018/12/21,大甲測站,WD,100,107,90,78,72,56,51,46,40,2,6,12,14,19,21,23,20,20,22,26,41,240,225,224
2018/12/22,大甲測站,WD,228,220,271,323,334,352,10,24,43,32,341,329,12,14,14,17,17,30,28,40,42,28,25,28
2018/12/23,大甲測站,WD,36,30,48,34,30,39,24,27,19,27,23,26,30,31,38,32,29,38,37,37,37,38,38,36
2018/12/24,大甲測站,WD,31,36,35,35,35,34,36,35,30,30,35,33,32,26,31,33,32,32,27,25,30,42,44,46
2018/12/25,大甲測站,WD,43,34,31,38,57,22,35,18,34,30,20,14,19,23,22,22,26,27,34,30,32,29,26,24
2018/12/26,大甲測站,WD,27,26,29,29,36,34,35,34,38,34,28,13,22,22,35,33,36,35,40,30,32,33,33,32
2018/12/27,大甲測站,WD,31,33,37,41,37,40,40,40,40,40,37,35,36,37,34,34,38,39,39,38,37,35,35,39
2018/12/28,大甲測站,WD,40,39,41,41,39,41,39,38,42,43,43,46,48,43,45,45,44,41,42,41,36,37,37,40
2018/12/29,大甲測站,WD,41,39,35,37,38,38,39,38,40,43,43,42,44,38,37,32,29,33,36,39,46,48,49,39
2018/12/30,大甲測站,WD,44,46,47,41,40,43,40,39,43,45,42,38,33,57,30,19,25,32,33,27,32,26,27,23
2018/12/31,大甲測站,WD,28,38,38,33,33,35,40,35,30,33,34,30,32,26,30,37,32,30,29,26,29,31,40,40
