日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,霧峰測站,WD,351,346,344,169,343,181,177,12,18,7,354,355,355,5,7,349,22,92,147,175,176,174,173,173
2018/12/02,霧峰測站,WD,178,175,177,175,181,179,175,176,305,339,10,347,10,58,18,13,40,130,353,174,176,174,174,172
2018/12/03,霧峰測站,WD,177,178,176,175,173,173,175,176,345,3,38,339,354,27,2,354,353,6,175,175,174,174,176,174
2018/12/04,霧峰測站,WD,189,320,181,180,176,354,176,175,261,30,3,358,357,355,354,350,351,354,162,173,177,172,176,175
2018/12/05,霧峰測站,WD,173,335,175,179,176,179,180,176,243,352,9,360,354,1,351,14,17,26,219,235,175,176,176,177
2018/12/06,霧峰測站,WD,174,177,191,175,177,293,176,176,3,29,3,351,350,309,348,347,351,351,357,169,176,174,179,232
2018/12/07,霧峰測站,WD,355,358,356,4,177,0,0,46,360,9,354,340,2,353,343,349,353,351,355,354,355,356,359,356
2018/12/08,霧峰測站,WD,355,354,352,353,358,356,9,354,2,354,351,351,354,345,350,347,358,8,356,45,164,94,3,351
2018/12/09,霧峰測站,WD,2,28,358,1,359,231,233,164,181,2,355,353,356,351,347,353,354,3,0,339,226,79,352,177
2018/12/10,霧峰測站,WD,176,178,175,244,177,176,175,174,280,357,358,356,348,350,357,189,307,1,180,356,166,15,176,140
2018/12/11,霧峰測站,WD,351,239,195,187,180,356,324,351,6,3,352,353,348,353,348,348,352,354,355,357,56,353,354,351
2018/12/12,霧峰測站,WD,352,353,354,358,354,354,356,359,349,352,353,348,355,349,358,353,356,2,355,359,176,355,1,350
2018/12/13,霧峰測站,WD,123,223,185,132,353,65,1,275,330,195,172,130,6,353,350,349,345,351,357,169,212,254,207,358
2018/12/14,霧峰測站,WD,359,238,288,282,352,346,227,340,179,261,358,4,353,357,357,346,353,9,237,22,358,202,236,196
2018/12/15,霧峰測站,WD,355,354,332,177,354,336,177,348,281,343,11,9,359,19,25,348,3,6,11,176,178,179,355,178
2018/12/16,霧峰測站,WD,178,174,354,355,179,177,178,309,2,2,354,357,357,347,351,347,348,351,353,173,177,177,177,178
2018/12/17,霧峰測站,WD,177,186,355,0,358,354,357,352,354,358,357,344,355,345,346,347,353,1,5,358,350,177,178,175
2018/12/18,霧峰測站,WD,177,175,174,177,177,177,177,331,338,12,6,81,358,14,354,32,10,178,178,177,177,191,180,178
2018/12/19,霧峰測站,WD,177,180,175,355,317,175,345,264,281,175,171,159,48,35,18,29,299,336,176,175,177,175,176,176
2018/12/20,霧峰測站,WD,180,351,178,174,352,174,351,202,250,173,22,173,47,3,33,33,20,357,355,180,178,178,179,180
2018/12/21,霧峰測站,WD,178,336,181,175,343,176,184,182,255,217,9,4,352,354,343,352,353,122,203,315,359,352,352,359
2018/12/22,霧峰測站,WD,178,181,173,179,179,199,178,186,72,4,1,358,1,4,102,35,7,206,334,177,179,351,350,182
2018/12/23,霧峰測站,WD,175,347,208,316,184,179,182,180,178,254,7,360,143,355,352,355,360,357,4,242,133,190,124,119
2018/12/24,霧峰測站,WD,131,1,26,359,356,355,358,1,92,353,358,4,352,355,355,353,356,131,216,228,222,178,175,177
2018/12/25,霧峰測站,WD,218,331,360,351,190,209,166,189,190,182,5,3,0,351,349,348,351,354,1,5,84,359,5,357
2018/12/26,霧峰測站,WD,6,5,359,1,83,230,180,15,358,353,357,345,349,348,354,12,354,351,358,352,135,113,192,13
2018/12/27,霧峰測站,WD,355,355,354,353,352,350,354,354,352,355,1,347,348,349,348,349,349,350,354,355,360,354,356,352
2018/12/28,霧峰測站,WD,353,356,352,356,349,355,354,355,5,353,359,347,343,349,349,349,352,354,354,348,356,357,355,354
2018/12/29,霧峰測站,WD,357,351,352,351,360,355,352,353,355,358,353,347,359,353,350,348,351,353,355,357,2,178,176,175
2018/12/30,霧峰測站,WD,176,178,178,177,179,181,178,176,179,29,19,360,0,136,176,223,278,357,1,353,156,164,135,4
2018/12/31,霧峰測站,WD,357,357,359,9,5,3,5,212,358,354,350,351,348,353,350,350,85,354,59,117,174,178,178,178
