日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,文山測站,WD,267,280,276,308,294,309,300,21,74,345,356,4,23,57,18,336,352,355,1,21,27,16,3,139
2018/12/02,文山測站,WD,292,293,290,203,258,295,294,154,177,96,174,256,271,249,271,282,310,306,300,310,326,337,32,84
2018/12/03,文山測站,WD,318,296,263,291,299,299,334,83,113,96,209,288,331,350,353,350,353,0,350,11,5,357,319,297
2018/12/04,文山測站,WD,272,295,300,339,81,5,338,21,104,133,109,331,314,345,350,349,1,25,24,26,34,39,28,21
2018/12/05,文山測站,WD,76,21,32,34,30,27,31,41,39,33,40,35,25,19,357,353,353,5,8,345,337,317,313,311
2018/12/06,文山測站,WD,303,338,20,36,23,27,23,49,78,67,46,27,1,351,355,351,353,10,21,24,14,30,356,335
2018/12/07,文山測站,WD,1,22,25,25,20,29,26,25,29,33,26,26,30,32,27,23,23,19,21,24,29,23,25,28
2018/12/08,文山測站,WD,33,31,21,26,26,29,26,28,28,26,28,37,28,30,24,15,11,8,15,10,24,24,27,24
2018/12/09,文山測站,WD,24,18,22,23,26,30,22,25,36,358,27,30,25,24,24,15,19,9,5,15,21,21,23,17
2018/12/10,文山測站,WD,16,19,22,29,23,25,31,28,29,34,31,29,23,24,38,32,15,30,6,23,22,36,38,359
2018/12/11,文山測站,WD,15,30,1,32,35,35,25,29,44,31,29,21,22,19,24,25,32,32,33,32,28,23,31,29
2018/12/12,文山測站,WD,26,29,30,29,30,28,28,24,28,27,29,28,29,31,28,21,27,18,6,26,27,24,30,29
2018/12/13,文山測站,WD,24,31,35,29,28,27,35,31,34,31,49,55,356,20,17,23,21,25,24,26,19,22,8,26
2018/12/14,文山測站,WD,26,23,356,28,44,29,5,31,35,41,5,354,355,346,359,10,6,10,10,8,18,20,352,1
2018/12/15,文山測站,WD,11,356,21,19,351,353,12,28,62,59,223,241,264,339,344,352,13,341,357,354,330,9,3,80
2018/12/16,文山測站,WD,320,335,40,44,26,56,39,14,48,31,49,28,350,357,7,0,27,28,32,32,36,37,38,28
2018/12/17,文山測站,WD,32,29,29,29,33,30,30,25,30,29,34,25,34,28,29,23,18,13,17,25,23,32,39,38
2018/12/18,文山測站,WD,31,33,28,30,360,15,12,39,64,45,342,280,224,276,332,339,358,359,343,298,296,274,256,261
2018/12/19,文山測站,WD,271,259,255,262,284,246,216,205,189,167,215,221,236,244,253,260,273,301,281,288,281,267,263,267
2018/12/20,文山測站,WD,276,254,269,295,274,298,304,28,132,141,126,148,178,153,253,290,320,27,26,18,1,320,285,300
2018/12/21,文山測站,WD,280,294,278,289,325,28,90,130,146,62,12,349,347,355,359,4,360,354,355,1,314,280,256,239
2018/12/22,文山測站,WD,184,229,234,252,241,360,16,6,53,36,359,346,349,342,344,340,352,356,345,28,352,322,22,33
2018/12/23,文山測站,WD,33,21,34,14,24,26,27,28,30,33,39,34,31,22,15,19,16,25,25,14,12,23,21,21
2018/12/24,文山測站,WD,22,27,29,24,27,29,28,30,28,23,32,28,24,22,31,25,25,10,355,340,358,6,339,40
2018/12/25,文山測站,WD,307,338,345,25,36,9,9,5,81,29,13,337,357,11,17,17,27,30,30,31,19,27,32,34
2018/12/26,文山測站,WD,41,27,27,29,28,32,28,41,43,40,45,4,8,15,27,25,28,28,29,27,29,35,28,33
2018/12/27,文山測站,WD,28,31,28,31,30,32,31,35,35,36,36,34,32,27,33,27,28,29,29,27,29,30,26,30
2018/12/28,文山測站,WD,28,24,25,26,27,25,23,25,31,34,33,30,30,23,20,19,20,23,24,23,23,26,29,27
2018/12/29,文山測站,WD,29,25,26,28,26,28,27,27,31,33,40,38,33,37,28,18,28,32,31,28,28,33,33,33
2018/12/30,文山測站,WD,30,27,31,34,33,34,33,38,49,46,17,8,57,56,132,201,351,23,19,356,360,7,7,11
2018/12/31,文山測站,WD,8,27,33,31,28,33,40,13,17,26,29,27,29,14,26,16,9,12,9,8,23,17,17,13
