日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,后里測站,PM10,159,146,123,118,110,112,112,108,98,82,67,88,80,79,63,61,82,115,138,155,113,107,76,67
2018/12/02,后里測站,PM10,56,38,39,28,22,22,25,28,41,#,25,38,58,73,63,56,57,66,73,73,84,86,90,79
2018/12/03,后里測站,PM10,72,41,42,44,25,32,34,38,54,47,42,49,62,43,58,50,52,84,87,76,54,56,50,52
2018/12/04,后里測站,PM10,41,42,30,26,26,14,12,14,25,20,17,23,20,24,27,34,39,49,49,36,25,31,30,23
2018/12/05,后里測站,PM10,18,26,34,51,45,34,33,31,33,33,28,31,30,30,45,32,41,69,64,47,93,44,42,45
2018/12/06,后里測站,PM10,39,40,61,47,40,33,31,36,38,33,41,82,65,33,60,70,91,108,75,78,69,71,64,78
2018/12/07,后里測站,PM10,31,25,25,29,18,19,15,18,#,20,21,26,32,24,47,36,37,46,32,30,20,20,32,11
2018/12/08,后里測站,PM10,11,16,12,11,10,14,14,11,10,18,26,37,41,29,46,38,39,35,40,25,24,28,15,14
2018/12/09,后里測站,PM10,14,13,13,25,24,13,9,9,11,20,32,19,25,24,29,21,32,21,22,27,19,21,15,17
2018/12/10,后里測站,PM10,9,14,22,21,16,20,11,12,17,37,26,#,#,13,16,17,23,41,42,45,50,39,32,31
2018/12/11,后里測站,PM10,44,28,28,23,24,20,24,31,40,37,44,51,50,34,41,30,36,44,39,41,24,30,32,22
2018/12/12,后里測站,PM10,14,18,12,17,19,18,18,19,25,36,32,27,31,26,31,24,41,30,33,31,34,25,33,33
2018/12/13,后里測站,PM10,28,33,31,32,28,24,26,25,32,28,24,24,30,42,78,53,44,39,39,37,31,34,28,29
2018/12/14,后里測站,PM10,28,27,26,26,24,22,17,15,20,11,23,36,41,39,57,61,32,46,41,26,28,39,28,27
2018/12/15,后里測站,PM10,17,17,20,21,14,14,18,24,20,21,33,39,46,53,48,54,48,93,94,152,74,72,48,86
2018/12/16,后里測站,PM10,42,47,66,45,41,42,41,45,47,54,84,65,60,88,127,62,78,52,38,32,26,21,21,25
2018/12/17,后里測站,PM10,28,32,42,37,25,19,23,32,45,#,#,63,65,76,60,85,82,105,72,54,60,52,45,36
2018/12/18,后里測站,PM10,35,30,22,26,23,18,23,25,58,55,76,94,71,64,61,73,94,103,118,81,63,60,63,72
2018/12/19,后里測站,PM10,64,60,60,60,56,62,63,65,80,94,80,77,71,77,74,78,78,119,150,161,154,127,102,73
2018/12/20,后里測站,PM10,62,60,52,46,46,38,33,39,39,33,31,21,22,27,74,71,77,97,97,82,72,58,58,56
2018/12/21,后里測站,PM10,55,45,54,43,48,45,39,44,52,48,51,74,83,74,103,127,114,109,117,106,78,79,92,91
2018/12/22,后里測站,PM10,95,99,99,97,100,80,71,91,99,70,67,72,77,86,85,84,95,104,107,95,104,158,71,98
2018/12/23,后里測站,PM10,60,69,66,73,59,70,74,74,52,56,70,31,42,46,56,35,29,20,14,13,12,10,8,*
2018/12/24,后里測站,PM10,13,9,11,11,12,12,10,10,12,11,12,15,20,13,39,25,27,10,17,20,24,31,23,19
2018/12/25,后里測站,PM10,12,18,17,18,15,19,35,23,#,#,20,49,53,56,85,56,49,51,58,31,23,70,41,34
2018/12/26,后里測站,PM10,42,18,14,19,16,17,16,21,21,19,25,32,39,33,37,30,31,29,27,19,19,32,26,21
2018/12/27,后里測站,PM10,19,26,36,26,25,23,18,24,21,27,32,21,19,29,23,28,27,24,24,19,15,16,15,13
2018/12/28,后里測站,PM10,18,16,16,9,15,16,15,12,14,15,20,27,30,28,39,39,32,29,31,25,23,20,20,13
2018/12/29,后里測站,PM10,14,17,19,16,17,20,25,22,16,20,22,21,21,21,30,33,35,48,41,32,16,15,11,10
2018/12/30,后里測站,PM10,11,15,14,17,9,13,12,10,11,12,16,28,26,23,22,36,54,32,17,26,24,20,22,14
2018/12/31,后里測站,PM10,15,20,30,22,12,17,19,13,13,15,16,24,18,21,20,22,22,35,22,21,13,23,15,10
